transcription,count,intent,,
"During the period of falling in love, each time that we met and especially when we had not met for a long time.",1,EMOTION_JOY,,
When I was involved in a traffic accident.,1,EMOTION_FEAR,,
"When I was driving home after  several days of hard work, there was a motorist ahead of me who was driving at 50 km/hour and refused, despite his low speeed to let me overtake.",1,EMOTION_ANGER,,
When I lost the person who meant the most to me.,1,EMOTION_SADNESS,,
"The time I knocked a deer down - the sight of the animal's injuries and helplessness.  The realization that the animal was so badly hurt that it had to be put down, and when the animal screamed at the moment of death.",1,EMOTION_DISGUST,,
When I did not speak the truth.,1,EMOTION_SHAME,,
When I caused problems for somebody because he could not keep the appointed time and this led to various consequences.,1,EMOTION_GUILT,,
When I got a letter offering me the Summer job that I had applied for.,1,EMOTION_JOY,,
When I was going home alone one night in Paris and a man came up behind me and asked me if I was not afraid to be out alone so late at night.,1,EMOTION_FEAR,,
When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.,1,EMOTION_ANGER,,
When my friends did not ask me to go to a New Year's party with them.,1,EMOTION_SADNESS,,
When I saw all the very drunk kids (13-14 years old) in town on Walpurgis night.,1,EMOTION_DISGUST,,
When I could not remember what to say about a presentation task at an accounts meeting.,1,EMOTION_SHAME,,
When my uncle and my neighbour came home under police escort.,1,EMOTION_GUILT,,
[ On days when I feel close to my partner and other friends.  When I feel at peace with myself and also experience a close contact with people whom I regard greatly.],1,EMOTION_JOY,,
"Every time I imagine that someone I love or I could contact a serious illness, even death.",1,EMOTION_FEAR,,
When I had been obviously unjustly treated and had no possibility of elucidating this.,1,EMOTION_ANGER,,
When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time.,1,EMOTION_SADNESS,,
At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating.,1,EMOTION_DISGUST,,
When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings.,1,EMOTION_SHAME,,
I feel guilty when when I realize that I consider material things more important than caring for my relatives.  I feel very self-centered.,1,EMOTION_GUILT,,
After my girlfriend had taken her exam we went to her parent's place.,1,EMOTION_JOY,,
"When, for the first time I realized the meaning of death.",1,EMOTION_FEAR,,
When a car is overtaking another and I am forced to drive off the road.,1,EMOTION_ANGER,,
"When I recently thought about the hard work it takes to study, and  how one wants to try something else.  When I read a theoretical book in English that I did not understand.",1,EMOTION_SADNESS,,
When I found a bristle in the liver paste tube.,1,EMOTION_DISGUST,,
"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important.",1,EMOTION_SHAME,,
When I think that I do not study enough.  After the weekend I think that I should have been able to have accomplished something during that time.,1,EMOTION_GUILT,,
When I pass an examination which I did not think I did well.,1,EMOTION_JOY,,
"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e.g a traffic accident.",1,EMOTION_FEAR,,
When one is unjustly accused of something one has not done.,1,EMOTION_ANGER,,
When one's studies seem hopelessly difficult and uninteresting.,1,EMOTION_SADNESS,,
"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted.",1,EMOTION_DISGUST,,
"When one has been unjust, stupid towards someone else.",1,EMOTION_SHAME,,
When one has neglected or been unjust to a good friend.,1,EMOTION_GUILT,,
Passing an exam I did not expect to pass.,1,EMOTION_JOY,,
When I climbed up a tree to pick apples.  The angle of the ladder I was on did not enable me to get high enough.  This implied that the ladder was not very stable.,1,EMOTION_FEAR,,
Friends who torture animals.,1,EMOTION_ANGER,,
[ Same as in anger.],1,EMOTION_SADNESS,,
Friends who torture animals.,1,EMOTION_DISGUST,,
[ Same as above - friends who torture animals.],1,EMOTION_SHAME,,
[ When excuses are necessary and I get out of doing it myself.],1,EMOTION_GUILT,,
When I had my children.,1,EMOTION_JOY,,
When my 2 year old son climbed up and sat on the 7th floor balcony with his legs hanging out.  He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down.,1,EMOTION_FEAR,,
When my partner was attacked and lost three teeth.,1,EMOTION_ANGER,,
When I see children on T.V from areas devastated by drought and war.,1,EMOTION_SADNESS,,
When I nearly walked on a blindworm and then saw it crawl away.,1,EMOTION_DISGUST,,
When I saw my 18 year old son grab an oxygen mask as he had breathing difficulties.  I had a bad conscience because I had not stopped smoking.  Medication for the dilation of his breathing tubes also caused a sense of guilt in me.,1,EMOTION_SHAME,,
"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing.",1,EMOTION_GUILT,,
When my child was born.,1,EMOTION_JOY,,
"It was winter/spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it.  The branch went through the ice and I fell in, the water closed in over my head.",1,EMOTION_FEAR,,
"Unjust accusations directed at me and my way of acting, by someone close to me.",1,EMOTION_ANGER,,
Failing an examination.,1,EMOTION_SADNESS,,
"A drunkard fell, started bleeding and wet himself.  Disgust that turned into sadness-unpleasantness.",1,EMOTION_DISGUST,,
"When, as an adult I have been caught lying or behaving badly.",1,EMOTION_SHAME,,
"When I am in an environment or with a person much worse off than me, I realize how privileged I am.",1,EMOTION_GUILT,,
When I saw a person I had not seen for a long time.,1,EMOTION_JOY,,
"When, as a child, I was nearly knocked down by a car.",1,EMOTION_FEAR,,
"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died.  I could not  understand how normal people could behave in such a way.",1,EMOTION_ANGER,,
"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment.  Nothing happens in particular because there is no time for anything else.",1,EMOTION_SADNESS,,
When one learns through the mass media all the wars and killing going on in the world.,1,EMOTION_DISGUST,,
"I lied, to be precise I cancelled a meeting with a good friend.",1,EMOTION_SHAME,,
When one lets friends down,1,EMOTION_GUILT,,
When I was accepted for a course on finance and accounting.,1,EMOTION_JOY,,
"A bus drove over my right leg.  The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened.",1,EMOTION_FEAR,,
"At my Summer job, nobody looked after me in particular and I had to learn all on my own.",1,EMOTION_ANGER,,
When I was not accepted as a student in finance and accounting.,1,EMOTION_SADNESS,,
When I had just moved into my new appartment I found a ventilator in the kitchen.  I was going to clean it when I found that the drum was full of mud and slime.  I felt disgusted.,1,EMOTION_DISGUST,,
My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays.,1,EMOTION_SHAME,,
At my Summer job a new caretaker had been employed who was my age  but I preferred going out for lunch with the accounts personnel rather than with him.,1,EMOTION_GUILT,,
Passed an exam by 2 points.,1,EMOTION_JOY,,
"In a cottage in a large forest, I was alone for a while in the dark.",1,EMOTION_FEAR,,
When I spoke to Jan-Erik Wikstr…m on the telephone.,1,EMOTION_ANGER,,
Railway station good-bye.,1,EMOTION_SADNESS,,
I saw a cripple in rags with small children in Italy.  He was probably an imposter.,1,EMOTION_DISGUST,,
I told a friend that I was going to a party and he would not enjoy himself if he came along.  He understood  that he would not have fitted in and there was something in that.,1,EMOTION_SHAME,,
I was the reason behind the break-up of my friend's relationship with his girlfriend.  She finished with him.,1,EMOTION_GUILT,,
I passed an exam that I was absolutely certain that I had failed.,1,EMOTION_JOY,,
"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard;  I was very scared till I managed to get him back onboard.",1,EMOTION_FEAR,,
I locked myself out.,1,EMOTION_ANGER,,
I missed the last tram home and had to walk in the pouring rain.,1,EMOTION_SADNESS,,
I found some worms in the food and I had obviously eaten some.,1,EMOTION_DISGUST,,
"My friend was so intoxicated that the police came and took him away, and they later contacted his parents.",1,EMOTION_SHAME,,
I hapened to overhear something which I was not meant to hear.,1,EMOTION_GUILT,,
When I won a trip to Greece in a competition.,1,EMOTION_JOY,,
When I am out in the dark and a suspicious looking character comes towards me.,1,EMOTION_FEAR,,
"At work, when an elderly man complained unjustifiably about me and distrusted me.",1,EMOTION_ANGER,,
When I had not understood anything after a lecture.,1,EMOTION_SADNESS,,
When an alcoholic stood dribbling over a food counter.,1,EMOTION_DISGUST,,
When my friend and I were discussing the good looks of a guy we realized that he had been listening.,1,EMOTION_SHAME,,
When I complained about a colleague to the manager and he told her that someone had complained; this colleague came to me believing that I liked her.,1,EMOTION_GUILT,,
At a friend's birthday party with some of my closest friends.  It was all very pleasant and one could say that I was happy to have such good friends.,1,EMOTION_JOY,,
On the way home one Friday night in the heavy rain the car acquaplanned.  I lost contact with the road surface for a few seconds.,1,EMOTION_FEAR,,
Mad at my dad.,1,EMOTION_ANGER,,
A case of unrequited love.,1,EMOTION_SADNESS,,
A bad smelling cucumber.,1,EMOTION_DISGUST,,
Nearly caught masturbating.,1,EMOTION_SHAME,,
I do not help out enough at home.,1,EMOTION_GUILT,,
I felt very happy when I won the football pools.,1,EMOTION_JOY,,
When I flew from Athens to Copenhagen after a holiday.  The plane was caught in a storm and it began to shake and I thouhght that we were going to crash.,1,EMOTION_FEAR,,
When someone stole my bike.,1,EMOTION_ANGER,,
"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it!""",1,EMOTION_SADNESS,,
It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year 2000.  An illustration showed a frog between two pieces of bread.,1,EMOTION_DISGUST,,
When I dropped a bottle in the state liquor store and everyboby started laughing.,1,EMOTION_SHAME,,
"When I was young - 14, I pinched from a store and was caught.  The store then contacted my parents.",1,EMOTION_GUILT,,
When the whole family gets together for a one week holiday.  Everybody feels free and the trip is well planned.  It works out well and we enjoy ourselves.,1,EMOTION_JOY,,
"When I could not find my 2 year old daughter.  I ran and looked for her everywhere and could not find her.  (I finally found her, she had gone to bed to sleep)",1,EMOTION_FEAR,,
When friends try to put me down or hurt me.,1,EMOTION_ANGER,,
Marriage crises.  Boredom.,1,EMOTION_SADNESS,,
When someone makes advances that one does not want.,1,EMOTION_DISGUST,,
The discovery that one has only thought of oneself.,1,EMOTION_SHAME,,
When I spanked a child in anger and later regretted it terribly.,1,EMOTION_GUILT,,
When I passed the first examination that I had to repeat.,1,EMOTION_JOY,,
When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit.,1,EMOTION_FEAR,,
When my boyfriend went away for a month long holiday without me.,1,EMOTION_ANGER,,
Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat; my boyfriend went to Greece for a holiday for a month.,1,EMOTION_SADNESS,,
When a dog is left whining outside a shop.,1,EMOTION_DISGUST,,
When I promised to help a friend over a weekend and did not keep the promise.,1,EMOTION_SHAME,,
When I realized that I had three more examinations to take.,1,EMOTION_GUILT,,
The day I was told that I had been accepted as a student of economics.,1,EMOTION_JOY,,
"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money.  I was scared and was saved only by the appearance of other people.",1,EMOTION_FEAR,,
"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i.e non Swedish speaking.  My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used .",1,EMOTION_ANGER,,
At the begining of a new course one is afraid of encountering problems one can not manage.  Thoughts revolve around failing the subject and the consequences it would have for the future.,1,EMOTION_SADNESS,,
While walking in town I noticed how the police harrassed a man who was under the influence of alcohol.  They terrified him with the thought of arrest by driving close behind him on a pedestrian street.  My disgust was directed at the gestures and the facial expressions of the policemen; they seemed to be enjoying themselves.,1,EMOTION_DISGUST,,
